Caller_ID,Dummy_Email,State,Days_in_Between,Test_variable,Outcome
68359340ZFZYECVJ,0,0,200,1,0
83119994SISMLSRO,0,0,200,0,0
58448995NDCOTARU,0,0,200,0,0
84112006ELLKIDBK,0,0,200,1,0
10840705OUMWVGBO,0,0,200,0,0
65443966UFFCGEYN,0,0,200,1,0
32925665LXCXFJYF,0,0,200,1,0
68567175CBGRRTBX,0,1,200,1,0
76952883ZBVRXEZR,0,0,200,0,0
52400767QHEQTZRF,0,1,200,1,0
34965442WMTBCCBF,0,1,200,0,0
25914261GWMOAPRF,0,0,200,1,0
98215177WULKKMNU,0,0,200,0,0
03241649AHZKPWYH,0,1,200,1,0
96667825EPUJRIRO,0,0,200,0,0
15852908CRZGSWMC,0,1,200,1,0
36994780TUIMUGOG,0,0,200,1,0
56735219WLNASIKD,0,0,200,0,0
78790913BINVBIAN,0,0,200,0,0
17079910NEIJQHGE,0,0,200,0,0
08661294PIECLXMX,0,1,200,1,0
11793738LLJVNMOO,0,1,200,1,0
37817200GPMMBJSA,0,0,200,0,0
87850069KOMVMYSS,0,0,200,0,0
31860166FYWKCQCI,0,0,200,0,0
42286744VFDAAFRA,0,1,200,1,0
12304253WHMYSBJI,0,1,200,0,0
27995245USCYNWOO,0,1,200,1,0
82914021DOHMVCHU,0,1,200,1,0
33945115STZFWARC,1,1,200,1,0
96034638VGIATDMB,1,0,200,0,0
39877760CFBLIUCR,0,1,200,1,0
07582565CZAVPCKQ,0,0,200,1,0
38320739EENLTMQW,0,0,200,0,0
29250332RKSSQHSV,0,1,200,0,0
70527400NBBHYGSD,0,0,200,1,0
11260700GZHAOKLK,1,1,200,1,0
46060410KFLTKYYG,0,0,200,1,0
91491754VNZLPGPH,1,1,200,0,0
40913455KJPHNCDZ,1,0,200,0,0
87979247QMSVHGBD,0,0,200,0,0
29290742PINPQLPL,0,1,200,0,0
69093417IFPKTXVO,0,0,200,1,0
44641913NYHQBJOK,1,1,200,0,0
69352986HWYJOFSJ,0,0,200,1,0
61807618NTHZSSGO,0,0,200,0,0
58253057OKPMGXPQ,0,0,200,0,0
30890089ZOHMNAOW,0,0,200,0,0
58974812FHNKZLUF,0,1,200,1,0
63339804ZCDFZKPA,0,0,200,1,0
58275674DTTNNIMP,0,0,200,0,0
33687560TAUFKVYA,0,0,200,1,0
96196891KWECJWMX,0,1,200,1,0
53522550ITWUAEWT,0,1,200,0,0
13286306AGFEHIHW,1,1,200,1,0
81665483LHPFEXLP,0,0,200,0,0
85439873EHVBGNGU,1,1,200,0,0
31413886MDSVBVVP,0,0,200,1,0
56248429LWKDJRPW,0,1,200,1,0
38330204IHOHPMCY,0,1,200,1,0
05711412DYHDBJKG,1,1,200,0,0
87345964HCXWXCGG,0,0,200,1,0
47764454CSZNXSVD,0,0,200,1,0
95332114FMUECJSW,0,0,200,0,0
91367911LTDLBNWJ,0,0,200,0,0
20399711TBNOYTER,0,1,200,1,0
85649601QKALIKQH,0,0,200,0,0
49399694RAPQPKQP,0,0,200,0,0
42779980DGHHDGKN,1,0,200,1,0
47726645TVXEANVQ,0,0,200,0,0
16986681BJRPQAJX,0,1,200,1,0
62603649XPRDQALO,0,1,200,0,0
37489029TXTBMVJL,0,1,200,1,0
42857305ZOLZXSZT,0,0,200,1,0
82434745ZJGJYTEF,0,0,200,0,0
49528024PCICVCPL,0,0,200,0,0
21471920RSRXCZBL,0,1,200,0,0
70800082EHHTYUYA,0,0,200,1,0
95455852LTMXXODM,1,1,200,1,0
43498688KKDKWSZK,0,1,200,0,0
